Hora;Altitud;Temperatura;Presión;Humedad;Latitud;Longitud
8:00:00;10;25,4;1013,2;65; 9,356 ;-66,914
9:00:00;50;23,6;1012,7;67;9,358;-66,911
10:00:00;75;22,1;1011,2;70;9,375;-66,899
11:00:00;123;19,3;1010,2;71;9,42;-66,904
12:00:00;245;18,2;1010,2;71;9,538;-66,957
13:00:00;368;17,4;1010,2;71;9,777;-67,142
14:00:00;456;15,6;1010,4;73;9,511;-66,388
15:00:00;540;15,3;1012,8;56;9,566;-65,951
16:00:00;670;14,2;1010,2;44;9,107;-65,245
17:00:00;730;13;1010,2;88;8,49;-65,842
18:00:00;850;12;1010,11;89;8,246;-65,781
19:00:00;946;11,1;1159,2;67;7,989;-65,924
20:00:00;1023;10,4;1023,2;68;7,754;-65,868
21:00:00;1346;10,5;1015,3;74;7,385;-65,873
22:00:00;1566;10,2;1010,21;93;7,154;-65,361
23:00:00;2003;9,4;1010,2;94;6,826;-65,662
