Hora;Altitud;Temperatura;Presion;Humedad;Latitud;Longitud
00:04:53;44;26.3;1016.7;70;9.729413;-67.101326
00:04:55;60;23.3;1011.8;63;8.938436;-67.149343
00:04:57;62;25.1;1013.3;71;9.639604;-66.583755
00:04:59;99;26.4;1017.6;65;9.040664;-67.537938
00:05:01;144;25.5;1011.7;68;9.841568;-67.430139
00:05:03;177;25.0;1017.7;72;10.635284;-67.641025
00:05:05;216;24.0;1009.4;67;11.521707;-68.053761
00:05:07;216;23.7;1017.1;61;11.885137;-68.986251
00:05:09;250;26.2;1008.4;67;12.413815;-69.788212
00:05:11;259;24.2;1010.9;79;11.995352;-68.868246
00:05:13;263;23.2;1017.1;73;12.10601;-69.565176
00:05:15;289;23.7;1014.6;63;11.852852;-69.06398
00:05:17;297;24.9;1017.0;67;11.721731;-69.161425
00:05:19;320;26.8;1012.7;60;12.446939;-69.505608
00:05:21;366;23.2;1011.4;67;11.839043;-69.127276
00:05:23;380;23.7;1015.8;67;12.551091;-69.84035
00:05:25;393;26.4;1017.1;63;12.345202;-69.129226
00:05:27;425;23.9;1017.7;66;12.381426;-69.979101
00:05:29;435;23.8;1014.2;72;12.66267;-70.936187
00:05:31;464;24.4;1009.1;63;13.189803;-70.701827
00:05:33;511;23.5;1014.9;67;13.495314;-70.385454
00:05:35;511;25.0;1017.9;78;12.994712;-70.537383
00:05:37;544;25.9;1011.3;79;12.445192;-70.074327
00:05:39;562;23.3;1012.9;62;13.167249;-70.668015
00:05:41;598;23.4;1017.3;64;12.832496;-69.752587
00:05:43;618;23.5;1017.3;73;12.792363;-69.897516
00:05:45;645;25.7;1011.5;71;13.770207;-69.524493
00:05:47;689;26.0;1008.7;65;13.460603;-68.529064
00:05:49;728;24.0;1010.0;75;13.068067;-68.154955
00:05:51;767;26.7;1018.0;67;12.382478;-67.500172
00:05:53;779;25.9;1016.2;69;13.107218;-67.633974
00:05:55;813;26.3;1010.1;80;13.956609;-68.142645
00:05:57;841;26.6;1016.7;73;14.014935;-68.962385
00:05:59;861;24.1;1016.7;79;13.403627;-69.514121
00:06:01;899;23.2;1017.0;78;14.013206;-68.710398
00:06:03;913;24.0;1008.4;75;14.140856;-68.065667
00:06:05;935;25.6;1009.4;80;13.270366;-68.109183
00:06:07;944;25.4;1009.2;79;13.346197;-68.867284
00:06:09;972;25.7;1015.5;75;12.992255;-69.748636
00:06:11;1010;24.8;1011.7;73;13.6972;-70.093129
00:06:13;1028;26.7;1008.8;71;12.751812;-70.526949
00:06:15;1070;25.3;1012.8;69;13.186117;-71.038833
00:06:17;1090;26.6;1016.9;73;13.063724;-71.691257
00:06:19;1135;23.8;1017.7;60;13.204386;-70.725342
00:06:21;1182;23.8;1011.3;61;12.243931;-71.2986
00:06:23;1207;25.2;1017.7;80;11.887078;-71.506898
00:06:25;1241;26.3;1008.6;68;11.209011;-71.068974
00:06:27;1274;26.4;1010.8;73;11.630898;-71.488626
00:06:29;1312;25.3;1017.6;63;11.373082;-72.352569
00:06:31;1361;25.7;1017.9;62;10.430534;-71.744442
00:06:33;1411;23.4;1015.9;76;10.132471;-72.614495
00:06:35;1418;23.4;1014.7;67;9.588649;-72.968267
00:06:37;1439;25.4;1012.0;78;9.141844;-72.695788
00:06:39;1487;26.8;1013.1;71;9.785088;-72.206343
00:06:41;1511;23.4;1012.8;62;9.31381;-73.05039
